spot_location_1,spot_location_2,spot_location_3,gene,is_noise,clustermap
640,97,22,1,0,13.0
724,418,21,1,0,27.0
732,596,21,1,-1,-1.0
746,481,22,1,0,659.0
750,531,22,1,0,634.0
766,523,21,1,-1,-1.0
776,122,28,1,-1,-1.0
780,502,22,1,-1,-1.0
793,765,22,1,-1,-1.0
882,509,24,1,0,216.0
905,527,21,1,0,216.0
909,30,23,1,0,1207.0
910,463,23,1,0,437.0
923,931,25,1,0,225.0
943,956,22,1,-1,-1.0
953,563,21,1,0,1434.0
960,560,22,1,0,1434.0
973,593,22,1,0,1434.0
979,590,22,1,0,1434.0
24,153,24,1,0,16.0
27,521,25,1,0,33.0
95,569,23,1,0,1427.0
113,574,23,1,0,74.0
155,452,23,1,-1,-1.0
208,969,26,1,0,710.0
331,281,22,1,0,396.0
338,676,22,1,0,387.0
461,930,25,1,-1,-1.0
489,498,22,1,0,25.0
513,518,22,1,0,1420.0
516,521,24,1,-1,-1.0
572,795,23,1,-1,-1.0
593,604,23,1,0,1144.0
606,500,22,1,0,349.0
607,522,22,1,0,645.0
642,531,22,1,0,26.0
656,73,23,1,0,13.0
678,579,22,1,0,212.0
712,550,22,1,0,695.0
748,573,22,1,0,12.0
748,619,22,1,0,363.0
774,536,23,1,0,250.0
778,436,23,1,-1,-1.0
783,521,23,1,-1,-1.0
888,511,24,1,0,216.0
900,514,24,1,0,216.0
907,538,25,1,0,216.0
917,543,22,1,0,405.0
925,26,29,1,0,14.0
939,966,25,1,0,1532.0
942,565,23,1,0,1434.0
944,552,22,1,0,1434.0
962,592,22,1,0,1434.0
972,587,22,1,0,1434.0
975,575,24,1,0,1434.0
977,593,22,1,0,1434.0
4,168,24,1,0,15.0
14,293,24,1,-1,-1.0
34,162,23,1,0,16.0
61,285,24,1,0,653.0
107,585,23,1,0,74.0
147,67,26,1,0,1231.0
230,830,22,1,-1,-1.0
429,260,24,1,-1,-1.0
485,507,23,1,0,25.0
524,382,23,1,0,-1.0
618,518,23,1,0,349.0
669,569,23,1,0,111.0
671,576,24,1,0,111.0
702,616,24,1,-1,-1.0
722,609,25,1,-1,-1.0
733,599,22,1,0,354.0
785,31,23,1,0,11.0
830,419,23,1,0,345.0
877,522,28,1,0,398.0
880,448,23,1,0,228.0
892,532,24,1,0,216.0
897,535,24,1,0,216.0
910,544,23,1,0,216.0
928,944,24,1,0,225.0
934,554,23,1,0,1434.0
942,546,24,1,0,405.0
953,568,23,1,0,1434.0
962,563,23,1,0,1434.0
971,549,25,1,-1,-1.0
1013,918,27,1,0,-1.0
3,301,24,1,-1,-1.0
5,264,26,1,0,1326.0
13,242,23,1,0,1311.0
19,289,25,1,-1,-1.0
20,332,25,1,-1,-1.0
23,283,24,1,-1,-1.0
36,843,24,1,-1,-1.0
39,559,24,1,0,220.0
42,261,27,1,-1,-1.0
48,563,25,1,0,220.0
68,596,25,1,0,1437.0
